Year;Month;Day;Incident code;Location start;Location end;Type of incident;Number of terrorists in attack force;Number of nationalities;First nationality of terrorists;Second nationality of terrorists;Third nationality of terrorists;Number of victims;Number of nationalities of victims;First victim's nationality;Second victim's nationality;Third victim's nationality;Number of US victims;Type of US victims;Type of immediate victims;Total individuals wounded;Terrorists wounded;Total number of individuals killed;Terrorists killed;Type of Weapon used;Terrorist logistical success;Number of Hostages;Escaped Hostages;Target of Demands 1;Target of Demands 2;Target of Demands 3;Number of Entities;Demands on Host Nation;Media Announcement;Political Change;Ransom demanded;Release Prisoners;Safe haven destination;Terrorist Negotiation Behavior;Sequential Release of Hostages;Passed Deadlines;Threats Carried Out;Terrorist Negotiation Success;Target Negotiator;Amount of Ransom Paid;Number of Prisoners Released;First hostage's fate;Second hostage's fate;Duration in Hours;Duration in Days;
1980;4;7;1;666;666;2;5;5;652;651;645;7;1;666;999;999;0;8;7;15;0;8;5;4;5;18;11;666;360;996;3;1;0;2;0;50;1;2;0;8;0;3;9;0;0;3;14;10;998;
1980;4;9;1;2;40;9;1;1;2;999;999;7;1;2;999;999;7;4;7;0;0;0;0;3;6;7;0;40;12;998;2;2;0;2;0;999;1;2;0;9;9;2;1;9999;998;14;98;6;1;
1980;4;9;2;750;750;9;1;1;999;999;999;1;1;750;999;999;0;8;7;0;0;0;0;3;2;0;0;998;998;998;8;9;9;9;0;999;9;8;9;9;9;8;8;9999;998;98;98;99;999;
1980;4;14;1;100;100;1;99;1;100;999;999;1;1;165;999;999;0;8;2;0;0;0;0;9;3;0;0;998;998;998;8;9;9;9;0;999;9;8;9;9;9;8;8;9999;998;8;98;99;999;
1980;4;17;4;91;91;1;6;9;999;999;999;1;1;2;999;999;1;4;5;0;0;0;0;3;9;1;1;93;998;998;1;2;0;2;0;999;2;8;0;9;9;3;8;9999;998;16;98;26;2;
1980;4;18;2;130;130;2;4;1;130;999;999;14;1;100;999;999;0;8;2;0;0;0;0;9;6;14;0;100;998;998;1;2;1;2;0;999;2;2;0;9;9;9;8;9999;998;1;98;1;1;
1980;4;30;1;200;200;2;6;1;630;999;999;26;1;630;200;999;0;8;2;3;0;7;5;4;5;26;0;630;12;200;3;1;5;1;0;91;1;1;4;2;0;3;1;0;0;12;14;96;5;
1980;5;1;3;2;2;9;1;1;2;998;998;1;1;2;998;998;1;4;5;0;0;0;0;3;5;1;0;2;998;998;1;1;0;2;0;999;1;2;9;9;9;3;1;9999;998;99;98;99;999;
1980;5;6;1;235;230;9;99;1;235;999;999;999;99;235;380;999;0;8;7;0;0;0;0;3;5;9999;0;230;225;12;3;1;0;2;1000;999;1;4;2;9;9;1;2;0;998;1;14;99;999;
1980;5;15;1;94;94;9;22;1;40;999;999;1;1;2;999;999;1;9;9;0;0;0;0;1;2;0;0;998;998;998;8;9;9;9;0;999;9;8;9;9;9;8;8;9999;998;98;98;99;999;
1980;5;16;1;2;2;9;1;1;2;998;998;1;1;2;998;998;1;4;5;0;0;0;0;4;3;1;0;2;12;998;2;1;0;2;0;999;1;2;0;9;9;3;1;9999;998;14;99;8;1;
1980;5;23;1;220;220;1;3;1;160;999;999;1;1;160;999;999;0;8;7;0;0;0;0;9;9;1;0;999;999;999;9;2;0;2;120;0;2;8;0;9;9;3;8;0;998;1;98;96;11;
1980;5;99;1;607;225;9;3;1;230;999;999;999;99;999;999;999;0;8;7;0;0;0;0;9;5;9999;0;12;998;998;1;1;9;9;0;999;1;2;0;9;9;3;9;9999;998;99;98;99;999;
1980;6;12;1;90;90;1;99;1;90;999;999;1;1;225;999;999;0;8;5;0;0;0;0;9;6;1;1;7;998;998;1;2;1;2;470;0;2;2;0;9;9;2;4;470;998;2;98;96;999;
1980;6;20;1;100;100;1;6;1;100;999;999;1;1;2;999;999;1;4;5;1;1;0;0;4;5;0;0;998;998;998;8;2;0;2;0;0;2;8;0;9;9;8;8;0;998;15;98;0;998;
1980;6;24;1;90;90;1;99;1;92;999;999;2;2;2;90;999;1;1;2;0;0;0;0;9;6;2;0;90;998;998;1;1;1;2;0;0;2;9;0;9;9;9;2;0;998;2;98;96;20;
1980;6;30;1;160;160;9;1;1;160;998;998;57;99;160;999;999;0;8;7;0;0;0;0;3;5;57;0;160;12;998;2;1;0;2;10;0;1;1;1;9;9;3;1;0;998;14;98;13;998;
1980;6;99;7;609;615;1;99;1;609;998;998;15;1;235;998;998;0;8;7;0;0;0;0;9;6;15;0;999;999;999;9;9;9;9;0;0;2;9;0;9;9;9;9;0;998;99;98;96;999;
1980;7;11;2;2;2;9;1;1;2;998;998;2;1;2;998;998;2;5;7;0;0;0;0;1;5;2;0;2;12;998;2;1;0;2;100;999;9;1;1;9;9;3;1;0;998;14;98;10;1;
1980;7;12;4;840;840;9;1;9;999;999;999;999;99;999;999;999;999;9;9;0;0;0;0;1;5;9999;0;840;12;998;2;1;0;2;600;999;1;8;0;9;9;3;1;0;998;14;98;99;999;
1980;7;19;2;380;380;1;99;1;667;999;999;1;1;651;999;999;0;8;2;0;0;0;0;9;1;1;0;651;998;998;1;2;0;2;0;999;2;2;0;9;9;3;8;9999;998;99;98;99;999;
